500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-http-ixr-client.php
200      GET        1l        4w       29c http://192.168.173.50/wordpress/wp-includes/ms-files.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/pluggable-deprecated.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/post.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/widgets.php
200      GET        1l        6w       42c http://192.168.173.50/wordpress/xmlrpc.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/shortcodes.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/ms-load.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-snoopy.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/template.php
200      GET      136l     1343w    26400c http://192.168.173.50/wordpress/wp-includes/
