200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/default-constants.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-paused-extensions-storage.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/wp-db.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-phpmailer.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/functions.wp-scripts.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-customize-manager.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/pluggable.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/widgets.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/category.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-http-curl.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-embed.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-IXR.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/wp-diff.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-comment-query.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/deprecated.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-matchesmapregex.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/cache.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-block-type-registry.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/feed-rdf.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/media.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-meta-query.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/functions.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/template-loader.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/default-filters.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/feed-rss.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/session.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-oembed-controller.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-walker-category.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/option.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/embed.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/spl-autoload-compat.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/theme.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-recovery-mode-key-service.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-http-ixr-client.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-widget-factory.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-rewrite.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-site-query.php
200      GET        1l        4w       29c http://192.168.161.78/wordpress/wp-includes/ms-files.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/blocks.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-user-query.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/update.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-user-meta-session-tokens.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/ms-blogs.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/post-formats.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-walker-category-dropdown.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-site.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-feed-cache.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-http-encoding.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/load.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/locale.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-http-requests-hooks.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-hook.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/http.php
403      GET        9l       28w      279c http://192.168.161.78/wordpress/wp-includes/.http.php.swp
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-recovery-mode-email-service.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-block-styles-registry.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/ms-load.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-walker-page-dropdown.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/ms-default-filters.php
200      GET       43l       43w     1045c http://192.168.161.78/wordpress/wp-includes/wlwmanifest.xml
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/functions.wp-styles.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/comment-template.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/feed-rss2-comments.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/l10n.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-session-tokens.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/link-template.php
500      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/feed-rss2.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/user.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-term.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/class-wp-role.php
200      GET        0l        0w        0c http://192.168.161.78/wordpress/wp-includes/ms-network.php
200      GET      223l     2254w    46164c http://192.168.161.78/wordpress/wp-includes/
500      GET      120l      307w     2646c http://192.168.161.78/wordpress/wp-config-sample.php
